iso3,year,population,scenario
RUS,2025,139667177.31995523,SSP1
RUS,2030,137806895.57216188,SSP1
RUS,2035,136159029.75387713,SSP1
RUS,2040,134630112.33270258,SSP1
RUS,2045,132918070.83346626,SSP1
RUS,2050,130787887.77458434,SSP1
RUS,2055,128354657.83635607,SSP1
RUS,2060,125733035.67378816,SSP1
RUS,2065,122746836.57071303,SSP1
RUS,2070,119382487.30461547,SSP1
RUS,2075,115574671.62937608,SSP1
RUS,2080,111316109.99197143,SSP1
RUS,2085,106777958.43687963,SSP1
RUS,2090,102157984.11376898,SSP1
RUS,2095,97559048.99277593,SSP1
RUS,2100,92534043.34588349,SSP1
RWA,2010,10624005,SSP1
RWA,2015,12019156.568955515,SSP1
RWA,2020,13376390.282177845,SSP1
RWA,2025,14639422.88381759,SSP1
RWA,2030,15812933.054613894,SSP1
RWA,2035,16988053.981978897,SSP1
RWA,2040,18123076.828038584,SSP1
RWA,2045,19135563.202137936,SSP1
RWA,2050,19982019.18157222,SSP1
RWA,2055,20675885.708163075,SSP1
RWA,2060,21243557.035384357,SSP1
RWA,2065,21715402.485410195,SSP1
RWA,2070,22078838.798998054,SSP1
RWA,2075,22317761.460307308,SSP1
RWA,2080,22431317.129591923,SSP1
RWA,2085,22434426.618714273,SSP1
RWA,2090,22336442.876348052,SSP1
RWA,2095,22139647.409381244,SSP1
RWA,2100,21838635.44508281,SSP1
SAU,2010,27448086,SSP1
SAU,2015,30914628.90954032,SSP1
SAU,2020,34273849.615650296,SSP1
SAU,2025,37432510.58733027,SSP1
SAU,2030,40373098.003560804,SSP1
SAU,2035,43192500.09393367,SSP1
SAU,2040,45786905.48188398,SSP1
SAU,2045,48023087.08111744,SSP1
SAU,2050,49823013.518135875,SSP1
SAU,2055,51222051.75768695,SSP1
SAU,2060,52237847.18114539,SSP1
SAU,2065,52811203.20114859,SSP1
SAU,2070,52950269.210393086,SSP1
SAU,2075,52675980.314053126,SSP1
SAU,2080,52042227.288219206,SSP1
SAU,2085,51109455.35611801,SSP1
SAU,2090,49925187.99786554,SSP1
SAU,2095,48373919.7345838,SSP1
SAU,2100,46471634.47821339,SSP1
SDN,2010,43551941.000711374,SSP1
SDN,2015,48354174.27353444,SSP1
SDN,2020,52968384.80119054,SSP1
SDN,2025,57205519.00081895,SSP1
SDN,2030,60986073.573869735,SSP1
SDN,2035,64374413.09079782,SSP1
SDN,2040,67240945.71076015,SSP1
SDN,2045,69514421.28423071,SSP1
